instruction,output
What was the employer contributions in 2021?,$524266
What was the employer contributions in 2020?,$517370
What was the participant contributions in 2021?,$1284909
What was the participant contributions in 2020?,$1237138
What was the due for securities sold in 2021?,$379711
What was the due for securities sold in 2020?,$463986
What was the total receivables in 2021?,$10764529
What was the total receivables in 2020?,$11295953
What was the total fixed assets in 2021?,$5306
What was the total fixed assets in 2020?,$9088
What was the other assets in 2021?,$1910
What was the other assets in 2020?,$1932
What was the total assets in 2021?,$838052933
What was the total assets in 2020?,$746514850
What was the accounts payable in 2021?,$53959
What was the accounts payable in 2020?,$61182
What was the accrued payroll and benefits in 2021?,$5757
What was the accrued payroll and benefits in 2020?,$5700
What was the benefits and participant loans payable in 2021?,$124388
What was the benefits and participant loans payable in 2020?,$168328
What was the deferred rent and lease credits in 2021?,$6396
What was the deferred rent and lease credits in 2020?,$7302
What was the due for securities purchased in 2021?,$430324
What was the due for securities purchased in 2020?,$206461
What was the cash collateral payable in 2021?,$15535349
What was the cash collateral payable in 2020?,$25550000
What was the total liabilities in 2021?,$16156173
What was the total liabilities in 2020?,$25998973
What was the net appreciation of investments in 2021?,$90070475
What was the net appreciation of investments in 2020?,$66046046
What was the net investment income in 2021?,$94122093
What was the net investment income in 2020?,$68813342
What was the participant in 2021?,$27512762
What was the participant in 2020?,$25346552
What was the employer in 2021?,$11759476
What was the employer in 2020?,$11087058
What was the total contributions in 2021?,$39272238
What was the total contributions in 2020?,$36433610
What was the loan administrative fees in 2021?,$11539
What was the loan administrative fees in 2020?,$11625
What was the total additions in 2021?,$133554986
What was the total additions in 2020?,$105448630
What was the benefits paid to participants in 2021?,$31421939
What was the benefits paid to participants in 2020?,$27095076
What was the administrative expenses in 2021?,$413689
What was the administrative expenses in 2020?,$368358
What was the le from participants declared taxable distributions in 2021?,$338476
What was the le from participants declared taxable distributions in 2020?,$339793
What was the total deductions in 2021?,$32174104
What was the total deductions in 2020?,$27803227
